1.0000,0.3857,0.8569
1.0000,0.6748,0.6081
1.0000,0.4394,0.9613
1.0000,0.8229,0.0105
1.0000,0.1416,0.4828
1.0000,0.5806,0.2930
1.0000,0.4389,0.3983
1.0000,0.1373,0.9528
1.0000,0.3600,0.8370
1.0000,0.0413,0.4238
1.0000,0.0756,0.3138
1.0000,0.9460,0.8545
1.0000,0.1735,0.5359
1.0000,0.2949,0.9029
1.0000,0.0814,0.7875
1.0000,0.1744,0.7200
1.0000,0.2320,0.2071
1.0000,0.2161,0.9767
1.0000,0.3818,0.6353
1.0000,0.0466,0.2321
1.0000,0.8748,0.4601
1.0000,0.0031,0.4649
1.0000,0.8241,0.8719
1.0000,0.3011,0.2360
1.0000,0.8316,0.4378
1.0000,0.5071,0.1855
1.0000,0.1515,0.9068
1.0000,0.9927,0.3901
1.0000,0.8268,0.9541
1.0000,0.8938,0.8410
1.0000,0.6833,0.1718
1.0000,0.2376,0.4343
1.0000,0.0251,0.2686
1.0000,0.9802,0.3127
1.0000,0.5718,0.6117
1.0000,0.9015,0.3960
1.0000,0.6928,0.2045
1.0000,0.0629,0.6224
1.0000,0.6880,0.2968
1.0000,0.5716,0.3162
